date;tas;sfcwind;rlds;rsds;huss;uas;vas
1991-09-19;12.438106023605883;5.478845116711585;290.8850801575607;224.3554775483838;5.497746695103271;4.118283245593828;3.146715252784157
1991-09-20;11.878466696372357;5.360282901155228;349.6828331847847;54.48527598158992;8.012487016379833;3.7925257843588627;3.7247379300821146
1991-09-21;10.864958853088751;3.0264614911131935;355.05416121717974;37.85215547335921;8.17243430730837;0.5703743306135348;-0.48335166268556407
1991-09-22;10.116551649747464;5.185924166767636;314.31689020527864;129.63869988700515;6.554677350430918;-2.9011625625009576;-4.044719453459676
1991-09-23;8.397584801450648;5.129516768300947;252.67166233900323;222.8941341019344;4.438153520882174;-3.148468781290583;-4.117104732642283
1991-09-24;11.128000108015726;3.723341057737606;302.2040547411931;173.76297077340678;5.261993517842417;2.7388087713236553;0.9158792443233646
1991-09-25;8.469440523253638;3.1617807692656728;265.8737027280564;212.99584909047192;5.369269340516319;1.1050411156845572;-1.7077887464756314
1991-09-26;8.839531853214396;4.372310862373034;252.87205265586;214.45179385535315;4.58538064406747;-2.8263380601195105;-3.1097094970265067
1991-09-27;11.595921714138967;3.042574104858233;268.54112216761126;208.8793289783122;5.048171806376788;0.7663439511550771;0.32247174063495493
1991-09-28;13.197142370831614;2.1069262019132;284.07233687170236;202.60233008895878;5.750636577722113;0.3393496424185184;-0.33636087792819375
1991-09-29;12.80481784496726;7.601091769458677;293.0346779988077;184.10532710141152;6.920028906047523;-4.806928811554496;-5.222405684856689
1991-09-30;13.950837112373506;5.76011877098794;297.95695025415455;193.2094956225906;7.205995375774807;-4.32603697673744;-4.312192582718594
1991-10-01;14.867736501427771;2.2258257359156177;296.8738451624247;188.0332947391164;6.44700478965774;0.8005308103167814;-0.846725529774954
1991-10-02;14.643172917962431;2.3691645768926866;297.2505265598105;189.57583822132858;6.465838786808315;0.9348712494541612;0.18097812528551915
1991-10-03;11.19360518441789;3.8897755320169565;285.02324099537515;178.17780605757346;6.542650693490937;3.1121369423082785;-0.26008078049611705
1991-10-04;9.987467868337944;2.198304993758417;313.4891943556014;117.9246681451366;5.964337533707504;1.5877847532828258;-0.280213077070659
1991-10-05;7.823449668038961;5.755536971724298;259.36382407079583;189.361245808897;4.674613765841538;-3.7260716039732262;-4.191211605791443
1991-10-06;9.950475567967942;3.785486241962711;267.931979631306;184.2556717531188;5.073455427402552;1.3261515064109772;1.0746237356236357
1991-10-07;11.5207026579115;5.236278676741551;286.2801344911485;167.5119742274965;6.557953069742873;3.8880278200587477;3.46424326794137
1991-10-08;10.543606524068139;3.4592146077553716;325.9899538107828;108.77726609647989;6.75587873742175;2.4142874069510074;0.24722448368771366
1991-10-09;8.969368821881062;2.7877726631059376;297.7686473842301;127.07197931730938;5.436239994259939;-0.10745991654955375;-0.9812063898254744
1991-10-10;11.02113303335966;2.5231226142547962;312.8293581215629;107.09001063826953;6.277603937408209;1.980151635127274;1.1543957678702297
1991-10-11;13.261163962887565;3.9724918258508684;292.9357170665234;169.50249825092766;6.57664122103628;2.4537024192848227;2.2492990599115306
1991-10-12;14.024415483232701;4.529604460470266;307.4733254142336;162.56827278545043;7.946617290510643;3.193923669428121;3.247673069588933
1991-10-13;13.405221386218557;5.0720493808495055;293.9308173682751;165.52038269568075;7.387995838841763;3.792637552710472;3.35448115239593
1991-10-14;12.68129435957485;5.320681931834905;291.26804162219656;160.55921694900428;6.374672415193921;3.8769922234459577;3.628433198109488
1991-10-15;11.947293116681863;4.83067242556867;337.5807489617035;50.459510967497856;6.638417112005955;3.1623855985999567;3.4768336817344534
1991-10-16;13.463791341467925;6.022494426541005;315.2789241208721;147.5251387547473;8.025456590630474;4.423239235787062;4.289677179772128
1991-10-17;9.623837484076546;3.191711443492563;317.43832598603706;61.867825775065924;6.900121185654026;1.722467814810579;0.047765086697636794
1991-10-18;8.363279392660104;2.7616299612019968;264.4831869176935;158.1455364981819;5.663286906804583;-1.1996289220975813;-1.6831976440114735
1991-10-19;8.67920416824495;3.9618878112867026;283.43047703869115;142.51837303705108;4.968258398049499;3.148758324793139;2.0669007101138117
1991-10-20;10.315772949362554;4.378820816725455;284.16116991027735;149.24132825394472;5.363157664876508;3.0805949940394104;2.2908475286971095
1991-10-21;8.975343130804674;5.063534205461768;318.7447503092587;35.40567525887853;6.270728348970025;3.8336228735174616;2.484955744090268
1991-10-22;4.86150771901049;5.702984308449786;279.1042384562888;125.1073640460095;4.9135546354081905;4.172469308238774;2.9938296696563236
1991-10-23;6.094232939800747;8.283615431562879;289.93962481501705;136.56669368561546;5.0726159200545125;5.0788433314972625;6.40842567548816
1991-10-24;5.826625070638784;5.224332549358051;292.0432233351458;113.68929466888221;4.843743111479074;3.3337302716813455;3.2558638608019868
1991-10-25;10.260911368945528;8.157067606688008;352.49410398348056;28.860734700837053;7.782319765148362;6.109338719080314;5.746601434386403
1991-10-26;6.137194532137073;7.263940422267575;321.3295291039307;25.409702737893152;6.123869849340846;-2.0484681612613995;-2.6022157592907935
1991-10-27;1.0604450255059419;4.730600446636405;286.6462202122667;72.52815328475795;3.713204757955533;-0.3609104523633246;-4.722649496559095
1991-10-28;0.018856307886835566;3.225384507308727;260.10333080795243;87.34396633597922;3.4283932696041917;2.218729951591671;1.3956222580458073
1991-10-29;-0.10244481906676128;4.914197504197146;226.1075380554062;139.0268427508422;2.9471517432296963;3.0044302152101006;3.4485775924669744
1991-10-30;1.3050084126481352;4.372809464290402;261.45173949783833;98.87022205175758;3.210156265455143;2.703009387297514;3.4869850763251726
1991-10-31;2.160222348677962;2.594971006346572;253.5872781159878;93.87130605891106;3.1149545467331974;1.4410295718350457;0.21075278028020372
1991-11-01;-0.39886498331856046;6.348485597512773;259.47454936561337;126.36972732394385;3.3638809973664356;4.547616824777991;1.1162308790314024
1991-11-02;0.8534382487948164;7.903142007940459;285.34580238810037;105.70330246666953;4.025406776133943;5.369110689114394;5.203997552561541
1991-11-03;3.29211425863798;9.249055388984674;292.4935241526783;93.67926161739459;4.8728929719057135;6.863373719004408;5.824595890954368
1991-11-04;0.9404976535113292;7.06579460257838;268.88843828875764;55.62889571970878;3.9223500249072427;5.0363247658561106;4.515522236506266
1991-11-05;1.9600802152074834;5.364625942514664;304.9657552026033;53.408499144501974;4.453374599598044;3.694527602877266;3.682494202855408
1991-11-06;5.817550263533178;3.3833137392150725;311.7039733128945;41.72838724802853;5.786659953516472;1.950870184792546;1.5431265931282394
1991-11-07;7.894982973065282;3.5116872936936443;269.4128021334688;117.85618352964742;5.595341612164302;2.1163231663925997;1.4472864975645932
1991-11-08;8.270975129628312;3.452970652290531;282.7421099854895;85.80299015392578;5.588027962935216;2.4029830537784886;1.8051032181794575
1991-11-09;8.719845254275299;3.257780699994929;277.4589238641592;92.61600021810247;5.820212042940776;2.3000290445579923;1.6128480826087546
1991-11-10;9.29696968110278;4.621708587038736;285.05885755092316;105.54050960114454;5.272459390007399;3.1663627793921374;2.7154235919854868
1991-11-11;9.803680542991572;4.01196604313373;329.23836888096724;43.28810102400582;5.8855302616498655;3.6304505554769793;0.4066778399807367
1991-11-12;8.663645369638004;1.6889862401784839;309.9668931225109;77.72687482372267;6.535625772945062;0.06557951038461411;-0.4411643273412696
1991-11-13;8.039861604474027;3.5994599330140153;277.58865382059884;86.36396024580574;5.61547379557548;1.84433851662925;1.229048055920386
1991-11-14;7.167294146516781;2.443658505607132;281.20878379745454;83.58119978297273;4.638397533706532;1.5632712702591396;1.0287590488378129
1991-11-15;8.27525636223254;3.3590248912226572;287.6701983834914;102.37663326057165;5.447196579422688;-1.7742968376185893;-2.3210228726177986
1991-11-16;7.646499899808077;2.6358501246599957;304.5900375635782;66.49767562488248;5.4330275696116095;1.1156255919912061;0.4387187280090644
1991-11-17;6.615239370072118;2.8206363913404;305.71781942555583;79.18976560087863;5.351317296973435;2.064924600855951;-0.24700286197250965
1991-11-18;1.9352247321612595;4.658813203326842;236.25813411462516;102.20643577680676;3.6457546902379083;-2.116933707695939;-3.591080241297697
1991-11-19;2.3153688641990016;1.8393786256499705;273.25026458649256;29.744447430447593;2.75928439171562;-0.5449003805290613;-1.1953091057242344
1991-11-20;5.885625213511332;5.430563450510935;283.5559568625442;73.45701376280842;4.7542823738266655;3.729459988045369;3.0633192039118065
1991-11-21;6.787119411953995;8.017486214742735;340.30643934628347;10.841139497795135;5.880400424125739;4.521679482906436;6.545823334467736
1991-11-22;7.961471770480159;7.26831758675447;330.9550887029036;14.122997435983342;6.713161339747436;4.9201086102167215;5.310030848962295
1991-11-23;5.5513461912126445;4.229001441350824;315.630568038371;38.04301048615723;5.47409318022097;2.842054319011723;2.9303848027716013
1991-11-24;2.5440758726731474;5.347221207884038;254.099339194518;94.76345415899314;4.296984728285979;3.824668179473763;-0.5138321565776706
